transaction_id,account_id,transaction_amount,transaction_frequency,merchant_category,location,time_pattern,is_night_transaction,is_weekend,account_age_days,avg_monthly_income,debt_to_income,interest_rate,credit_utilization,failed_login_attempts,device_risk_score,is_risk
TXN_10001,ACC_754,71.31,2,Grocery,International_LowRisk,7,0,1,2263,6031.69,0.36,4.73,0.47,0,0.38,0
TXN_10002,ACC_532,256.35,1,Grocery,Domestic,7,0,0,2962,6031.73,0.16,16.12,0.45,0,0.24,0
TXN_10003,ACC_658,229.37,1,Utilities,Domestic,8,0,0,683,6983.92,0.21,9.4,0.19,0,0.09,0
TXN_10004,ACC_448,56.31,7,Grocery,Domestic,10,0,1,3501,2673.44,0.25,8.58,0.17,0,0.25,0
TXN_10005,ACC_370,2631.27,20,Crypto_Exchange,International_LowRisk,17,0,1,2291,5411.23,0.66,11.59,0.72,1,0.91,1
TXN_10006,ACC_400,1154.36,30,Crypto_Exchange,International_LowRisk,11,0,0,217,6721.85,0.84,14.1,0.96,1,0.63,1
TXN_10007,ACC_777,58.59,2,Grocery,Domestic,2,1,0,1887,6473.01,0.3,4.43,0.44,0,0.05,0
TXN_10008,ACC_473,303.05,2,Grocery,Domestic,21,0,1,730,4384.58,0.26,10.5,0.43,0,0.11,0
TXN_10009,ACC_350,109.95,4,Grocery,Domestic,20,0,0,3482,7976.93,0.42,5.11,0.58,0,0.08,0
TXN_10010,ACC_157,41.18,2,Grocery,Domestic,10,0,0,2353,6842.74,0.29,7.39,0.26,0,0.03,0
TXN_10011,ACC_422,226.75,5,Grocery,Domestic,20,0,0,3081,7148.17,0.34,4.93,0.24,0,0.15,0
TXN_10012,ACC_369,535.1,4,Luxury_Goods,Domestic,18,0,0,596,5729.84,0.15,14.19,0.2,2,0.31,0
TXN_10013,ACC_193,4794.84,33,Luxury_Goods,International_HighRisk,4,1,0,1759,4821.56,0.48,14.79,0.9,6,0.88,1
TXN_10014,ACC_710,132.16,1,Grocery,Domestic,14,0,0,499,5881.58,0.26,8.06,0.13,0,0.14,0
TXN_10015,ACC_649,171.95,7,Luxury_Goods,International_LowRisk,10,0,1,43,7223.27,0.32,13.51,0.54,0,0.26,0
TXN_10016,ACC_996,113.87,2,Luxury_Goods,Online_Unverified,5,1,0,1252,5209.76,0.33,9.34,0.35,1,0.31,0
TXN_10017,ACC_619,18.09,1,Electronics,Domestic,5,1,0,2031,6683.52,0.37,15.34,0.12,0,0.05,1
TXN_10018,ACC_471,1503.59,15,Wire_Transfer,International_HighRisk,9,0,1,352,2524.86,0.54,4.96,0.9,5,0.76,1
TXN_10019,ACC_187,1697.49,12,Luxury_Goods,International_HighRisk,17,0,0,1976,8330.8,0.77,14.05,0.96,6,0.66,1
TXN_10020,ACC_662,39.78,4,Grocery,Domestic,19,0,0,3123,7157.5,0.43,15.2,0.37,1,0.36,0
TXN_10021,ACC_305,60.93,8,Luxury_Goods,Domestic,21,0,0,1879,7092.24,0.3,4.09,0.21,1,0.05,0
TXN_10022,ACC_330,100.79,4,Grocery,Domestic,17,0,1,2929,7022.11,0.19,8.22,0.21,0,0.17,0
TXN_10023,ACC_334,358.57,4,Grocery,Domestic,10,0,1,2018,7015.1,0.4,16.03,0.36,0,0.14,0
TXN_10024,ACC_235,1515.21,33,Luxury_Goods,International_HighRisk,18,0,0,3337,6351.11,0.56,4.46,0.75,4,0.79,1
TXN_10025,ACC_516,127.86,7,Grocery,Domestic,13,0,0,3016,6115.28,0.25,5.81,0.13,0,0.21,0
TXN_10026,ACC_769,95.67,2,Travel,Domestic,12,0,0,809,7103.09,0.39,13.52,0.22,0,0.39,0
TXN_10027,ACC_243,47.56,2,Utilities,Domestic,7,0,0,3558,7673.71,0.37,5.13,0.28,0,0.29,0
TXN_10028,ACC_200,231.44,4,Grocery,Online_Unverified,0,1,0,2019,10880.91,0.16,11.39,0.19,0,0.14,0
TXN_10029,ACC_985,150.82,7,Utilities,Domestic,12,0,1,3241,4375.39,0.23,12.64,0.36,0,0.02,0
TXN_10030,ACC_392,73.68,8,Utilities,Online_Unverified,17,0,0,1245,7447.18,0.27,5.42,0.17,0,0.38,0
TXN_10031,ACC_159,325.34,1,Electronics,Domestic,23,1,0,2089,6954.92,0.38,10.62,0.23,0,0.35,0
TXN_10032,ACC_643,48.23,2,Grocery,Online_Unverified,2,1,0,2795,9114.29,0.47,11.91,0.55,0,0.05,0
TXN_10033,ACC_513,1949.16,9,Grocery,International_HighRisk,7,0,0,365,7000.99,0.81,12.03,0.89,5,0.74,1
TXN_10034,ACC_529,25.55,4,Electronics,Domestic,10,0,0,1316,7192.9,0.36,4.11,0.55,0,0.07,0
TXN_10035,ACC_505,27.84,2,Grocery,International_LowRisk,14,0,0,2574,10231.55,0.21,12.15,0.1,0,0.27,0
TXN_10036,ACC_202,45.47,6,Grocery,Domestic,8,0,1,3631,7447.67,0.26,13.33,0.22,1,0.29,0
TXN_10037,ACC_391,4170.71,33,Grocery,International_HighRisk,22,0,0,2196,6009.22,0.68,7.32,0.87,6,0.93,1
TXN_10038,ACC_108,48.56,3,Electronics,Domestic,21,0,1,468,4992.53,0.46,11.89,0.3,0,0.39,0
TXN_10039,ACC_259,205.06,5,Grocery,International_LowRisk,22,0,0,1058,7751.33,0.32,7.51,0.39,0,0.21,0
TXN_10040,ACC_966,17.95,6,Grocery,International_LowRisk,8,0,1,2639,4785.68,0.48,15.92,0.19,0,0.26,0
TXN_10041,ACC_265,310.62,2,Luxury_Goods,Domestic,13,0,0,3647,7446.48,0.47,16.05,0.11,0,0.15,0
TXN_10042,ACC_252,7210.85,21,Utilities,International_HighRisk,18,0,0,201,6354.34,0.79,7.96,0.78,2,0.71,1
TXN_10043,ACC_415,37.29,4,Utilities,Online_Unverified,1,1,0,2761,4732.29,0.39,11.69,0.57,0,0.23,0
TXN_10044,ACC_898,16636.99,15,Electronics,International_HighRisk,19,0,0,3306,6807.45,0.8,13.26,0.82,2,0.65,1
TXN_10045,ACC_930,158.29,6,Grocery,Domestic,5,1,0,1716,7530.07,0.25,14.84,0.28,0,0.28,0
TXN_10046,ACC_984,308.35,2,Luxury_Goods,Domestic,5,1,0,188,7527.57,0.43,12.12,0.35,0,0.21,0
TXN_10047,ACC_327,160.27,4,Grocery,Online_Unverified,11,0,0,2733,4954.35,0.27,11.23,0.55,0,0.32,0
TXN_10048,ACC_436,19.39,7,Grocery,Domestic,8,0,0,3485,6026.36,0.25,11.39,0.37,0,0.19,0
TXN_10049,ACC_128,18.72,5,Grocery,Online_Unverified,5,1,0,2473,6628.56,0.28,13.62,0.51,0,0.02,0
TXN_10050,ACC_846,44.17,4,Luxury_Goods,Domestic,16,0,1,2933,4344.51,0.17,10.64,0.14,0,0.25,0
TXN_10051,ACC_632,3222.69,31,Gambling,Domestic,23,1,0,837,2449.71,0.84,13.94,0.89,6,0.85,1
TXN_10052,ACC_472,52.9,2,Utilities,Online_Unverified,10,0,0,1260,6872.91,0.16,16.03,0.14,0,0.18,0
TXN_10053,ACC_782,231.93,4,Utilities,Domestic,9,0,0,1582,5550.11,0.21,10.87,0.3,0,0.28,0
TXN_10054,ACC_278,165.46,5,Electronics,Domestic,17,0,0,1790,5193.34,0.48,13.22,0.24,0,0.27,0
TXN_10055,ACC_721,111.99,8,Electronics,Domestic,14,0,0,3290,9033.82,0.24,4.18,0.31,0,0.25,0
